class,rank,band_index,wavenumber,importance
baoman/R,1,370,1130.949720670391,1.0
baoman/R,2,369,1129.608938547486,0.7075819593032392
baoman/R,3,364,1122.9050279329608,0.5326808760967242
baoman/R,4,347,1100.1117318435754,0.48629381615791917
baoman/R,5,358,1114.8603351955308,0.4845795648755265
baoman/S,1,370,1130.949720670391,1.0
baoman/S,2,614,1458.1005586592178,0.8055864642823479
baoman/S,3,613,1456.7597765363128,0.7956199128581161
baoman/S,4,612,1455.4189944134077,0.7539503342494862
baoman/S,5,616,1460.7821229050278,0.7458031351480141
dachang/ESBL/ESBL+,1,137,783.6871508379888,1.0
dachang/ESBL/ESBL+,2,138,785.0279329608938,0.9738034648152807
dachang/ESBL/ESBL+,3,706,1581.4525139664804,0.9462139713830374
dachang/ESBL/ESBL+,4,633,1483.5754189944132,0.9062235460510935
dachang/ESBL/ESBL+,5,705,1580.1117318435754,0.8275055733098331
dachang/ESBL/ESBL-,1,138,785.0279329608938,1.0
dachang/ESBL/ESBL-,2,137,783.6871508379888,0.9089254260652367
dachang/ESBL/ESBL-,3,706,1581.4525139664804,0.8250189456602679
dachang/ESBL/ESBL-,4,136,782.3463687150838,0.7981782271609944
dachang/ESBL/ESBL-,5,705,1580.1117318435754,0.7729828510011635
dachang/FQR,1,138,785.0279329608938,1.0
dachang/FQR,2,134,779.6648044692737,0.7711870213749282
dachang/FQR,3,135,781.0055865921788,0.6879715500109858
dachang/FQR,4,139,786.3687150837989,0.6593518709580234
dachang/FQR,5,533,1349.4972067039107,0.6346927217569147
feike/CRE,1,697,1569.385474860335,1.0
feike/CRE,2,524,1337.4301675977654,0.8662685040791838
feike/CRE,3,698,1570.72625698324,0.8512762187805962
feike/CRE,4,696,1568.04469273743,0.8227285833729033
feike/CRE,5,133,778.3240223463687,0.7176594593890328
feike/ESBL/ESBL+,1,420,1197.9888268156424,1.0
feike/ESBL/ESBL+,2,510,1318.6592178770948,0.9703342582134658
feike/ESBL/ESBL+,3,132,776.9832402234637,0.8800796243069424
feike/ESBL/ESBL+,4,632,1482.2346368715084,0.836256757864025
feike/ESBL/ESBL+,5,631,1480.8938547486032,0.8067437096636854
feike/ESBL/ESBL-,1,421,1199.3296089385476,1.0
feike/ESBL/ESBL-,2,420,1197.9888268156424,0.98571192625732
feike/ESBL/ESBL-,3,612,1455.4189944134077,0.9500905592679041
feike/ESBL/ESBL-,4,616,1460.7821229050278,0.9030923426008861
feike/ESBL/ESBL-,5,714,1592.1787709497207,0.8969332581579479
jinpu/MRSA,1,608,1450.0558659217877,1.0
jinpu/MRSA,2,604,1444.6927374301677,0.8154273093865696
jinpu/MRSA,3,518,1329.3854748603353,0.8063466351459325
jinpu/MRSA,4,600,1439.3296089385474,0.7794337322800732
jinpu/MRSA,5,707,1582.7932960893854,0.7764540714045293
jinpu/MSSA,1,608,1450.0558659217877,1.0
jinpu/MSSA,2,607,1448.7150837988825,0.7432401320522781
jinpu/MSSA,3,604,1444.6927374301677,0.7165064319984213
jinpu/MSSA,4,602,1442.0111731843576,0.6376329978580562
jinpu/MSSA,5,136,782.3463687150838,0.5260776526597516
